employee_id,first_name,last_name,email,phone_number,job_id,salary,commission_pct,manager_id,department_id
100,Steven,King,SKING,515.123.4567,AD_PRES,24000.0,,,90.0
101,N_ann,Kochhar,NKOCHHAR,515.123.4568,AD_VP,17000.0,,100.0,90.0
102,Lex,De Haan,LDEHAAN,515.123.4569,AD_VP,17000.0,,100.0,90.0
103,Alexander,Hunold,AHUNOLD,590.423.4567,IT_PROG,9000.0,,102.0,NA
104,Bruce,Ernst,BERNST,590.423.4568,IT_PROG,6000.0,,103.0,60.0
202,Pat,Fay,PFAY,603.123.6666,MK_REP,6000.0,,201.0,20.0
203,Susan,Mavris,SMAVRIS,515.123.7777,HR_REP,6500.0,,101.0,40.0
204,Hermann,Baer,HBAER,515.123.8888,PR_REP,10000.0,,101.0,70.0
205,Shelley,Higgins,SHIGGINS,515.123.8080,AC_MGR,12000.0,,101.0,110.0
206,William,Gietz,WGIETZ,515.123.8181,AC_ACCOUNT,8300.0,,205.0,110.0
207,First207,Last207,USER207,555.000.1000,EMP,5000.0,,100.0,10.0
208,First208,Last208,USER208,555.000.1001,EMP,5500.0,,101.0,20.0
209,First209,Last209,USER209,555.000.1002,EMP,6000.0,,102.0,30.0
210,First210,Last210,USER210,555.000.1003,EMP,6500.0,,103.0,40.0
211,First211,Last211,USER211,555.000.1004,EMP,7000.0,,104.0,50.0
212,First212,Last212,USER212,555.000.1005,EMP,7500.0,,100.0,60.0
213,First213,Last213,USER213,555.000.1006,EMP,8000.0,,101.0,70.0
214,First214,Last214,USER214,555.000.1007,EMP,8500.0,,102.0,NA
215,First215,Last215,USER215,555.000.1008,EMP,9000.0,,103.0,90.0
216,First216,Last216,USER216,555.000.1009,EMP,9500.0,,104.0,100.0
217,First217,Last217,USER217,555.000.1010,EMP,5000.0,,100.0,110.0
218,First218,Last218,USER218,555.000.1011,EMP,5500.0,,101.0,120.0
219,First219,Last219,USER219,555.000.1012,EMP,6000.0,,102.0,10.0
220,First220,Last220,USER220,555.000.1013,EMP,6500.0,,103.0,20.0
221,First221,Last221,USER221,555.000.1014,EMP,7000.0,,104.0,30.0
222,First222,Last222,USER222,555.000.1015,EMP,7500.0,,100.0,40.0
223,First223,Last223,USER223,555.000.1016,EMP,8000.0,,101.0,50.0
224,First224,Last224,USER224,555.000.1017,EMP,8500.0,,102.0,60.0
225,First225,Last225,USER225,555.000.1018,EMP,9000.0,,103.0,70.0
226,First226,Last226,USER226,555.000.1019,EMP,9500.0,,104.0,80.0
227,First227,Last227,USER227,555.000.1020,EMP,5000.0,,100.0,90.0
228,First228,Last228,USER228,555.000.1021,EMP,5500.0,,101.0,100.0
229,First229,Last229,USER229,555.000.1022,EMP,6000.0,,102.0,110.0
230,First230,Last230,USER230,555.000.1023,EMP,6500.0,,103.0,120.0
231,First231,Last231,USER231,555.000.1024,EMP,7000.0,,104.0,10.0
232,First232,Last232,USER232,555.000.1025,EMP,7500.0,,100.0,20.0
233,First233,Last233,USER233,555.000.1026,EMP,8000.0,,101.0,30.0
234,First234,Last234,USER234,555.000.1027,EMP,8500.0,,102.0,40.0
235,First235,Last235,USER235,555.000.1028,EMP,9000.0,,103.0,50.0
236,First236,Last236,USER236,555.000.1029,EMP,9500.0,,104.0,60.0
237,First237,Last237,USER237,555.000.1030,EMP,5000.0,,100.0,70.0
238,First238,Last238,USER238,555.000.1031,EMP,5500.0,,101.0,80.0
239,First239,Last239,USER239,555.000.1032,EMP,6000.0,,102.0,None
240,First240,Last240,USER240,555.000.1033,EMP,6500.0,,103.0,100.0
241,First241,Last241,USER241,555.000.1034,EMP,7000.0,,104.0,110.0
242,First242,Last242,USER242,555.000.1035,EMP,7500.0,,100.0,120.0
243,First243,Last243,USER243,555.000.1036,EMP,8000.0,,101.0,10.0
244,First244,Last244,USER244,555.000.1037,EMP,8500.0,,102.0,20.0
245,First245,Last245,USER245,555.000.1038,EMP,9000.0,,103.0,
246,First246,Last246,USER246,555.000.1039,EMP,9500.0,,104.0,40.0
247,First247,Last247,USER247,555.000.1040,EMP,5000.0,,100.0,50.0
248,First248,Last248,USER248,555.000.1041,EMP,5500.0,,101.0,60.0
249,First249,Last249,USER249,555.000.1042,EMP,6000.0,,102.0,70.0
250,First250,Last250,USER250,555.000.1043,EMP,6500.0,,103.0,80.0
251,First251,Last251,USER251,555.000.1044,EMP,7000.0,,104.0,90.0
252,First252,Last252,USER252,555.000.1045,EMP,7500.0,,100.0,100.0
253,First253,Last253,USER253,555.000.1046,EMP,8000.0,,101.0,110.0
254,First254,Last254,USER254,555.000.1047,EMP,8500.0,,102.0,120.0
255,First255,Last255,USER255,555.000.1048,EMP,9000.0,,103.0,10.0
256,First256,Last256,USER256,555.000.1049,EMP,9500.0,,104.0,20.0
257,First257,Last257,USER257,555.000.1050,EMP,5000.0,,100.0,30.0
258,First258,Last258,USER258,555.000.1051,EMP,5500.0,,101.0,40.0
259,First259,Last259,USER259,555.000.1052,EMP,6000.0,,102.0,50.0
260,First260,Last260,USER260,555.000.1053,EMP,6500.0,,103.0,60.0
261,First261,Last261,USER261,555.000.1054,EMP,7000.0,,104.0,70.0
262,First262,Last262,USER262,555.000.1055,EMP,7500.0,,100.0,80.0
263,First263,Last263,USER263,555.000.1056,EMP,8000.0,,101.0,90.0
264,First264,Last264,USER264,555.000.1057,EMP,8500.0,,102.0,100.0
265,First265,Last265,USER265,555.000.1058,EMP,9000.0,,103.0,110.0
266,First266,Last266,USER266,555.000.1059,EMP,9500.0,,104.0,120.0
267,First267,Last267,USER267,555.000.1060,EMP,5000.0,,100.0,10.0
268,First268,Last268,USER268,555.000.1061,EMP,5500.0,,101.0,20.0
269,First269,Last269,USER269,555.000.1062,EMP,6000.0,,102.0,30.0
270,First270,Last270,USER270,555.000.1063,EMP,6500.0,,103.0,40.0
271,First271,Last271,USER271,555.000.1064,EMP,7000.0,,104.0,50.0
272,First272,Last272,USER272,555.000.1065,EMP,7500.0,,100.0,60.0
273,First273,Last273,USER273,555.000.1066,EMP,8000.0,,101.0,70.0
274,First274,Last274,USER274,555.000.1067,EMP,8500.0,,102.0,80.0
275,First275,Last275,USER275,555.000.1068,EMP,9000.0,,103.0,90.0
276,First276,Last276,USER276,555.000.1069,EMP,9500.0,,104.0,100.0
277,First277,Last277,USER277,555.000.1070,EMP,5000.0,,100.0,110.0
278,First278,Last278,USER278,555.000.1071,EMP,5500.0,,101.0,120.0
279,First279,Last279,USER279,555.000.1072,EMP,6000.0,,102.0,10.0
280,First280,Last280,USER280,555.000.1073,EMP,6500.0,,103.0,20.0
281,First281,Last281,USER281,555.000.1074,EMP,7000.0,,104.0,30.0
282,First282,Last282,USER282,555.000.1075,EMP,7500.0,,100.0,40.0
283,First283,Last283,USER283,555.000.1076,EMP,8000.0,,101.0,50.0
284,First284,Last284,USER284,555.000.1077,EMP,8500.0,,102.0,60.0
285,First285,Last285,USER285,555.000.1078,EMP,9000.0,,103.0,70.0
286,First286,Last286,USER286,555.000.1079,EMP,9500.0,,104.0,80.0
287,First287,Last287,USER287,555.000.1080,EMP,5000.0,,100.0,90.0
288,First288,Last288,USER288,555.000.1081,EMP,5500.0,,101.0,100.0
289,First289,Last289,USER289,555.000.1082,EMP,6000.0,,102.0,110.0
290,First290,Last290,USER290,555.000.1083,EMP,6500.0,,103.0,120.0
291,First291,Last291,USER291,555.000.1084,EMP,7000.0,,104.0,10.0
292,First292,Last292,USER292,555.000.1085,EMP,7500.0,,100.0,20.0
293,First293,Last293,USER293,555.000.1086,EMP,8000.0,,101.0,30.0
294,First294,Last294,USER294,555.000.1087,EMP,8500.0,,102.0,40.0
295,First295,Last295,USER295,555.000.1088,EMP,9000.0,,103.0,50.0
