name,math,science,English
Jacky,51,6,61
Li Yong,92,20,39
Raymond,14,72,84
Alice,71,38,79
Paul,60,17,81
Jessica,20,3,52
Student_1,82,88,23
Student_2,86,59,25
Student_3,74,13,88
Student_4,74,8,59
Student_5,87,89,40
Student_6,99,52,28
Student_7,23,1,14
Student_8,2,83,44
Student_9,21,91,64
Student_10,52,59,88
Student_11,1,70,70
Student_12,87,43,8
Student_13,29,7,87
Student_14,37,46,0
Student_15,1,34,7
Student_16,63,77,87
Student_17,59,80,62
Student_18,20,35,10
Student_19,32,49,80
Student_20,75,3,7
Student_21,57,1,34
Student_22,21,5,34
Student_23,88,53,32
Student_24,48,3,4
Student_25,90,53,40
Student_26,58,92,27
Student_27,41,62,6
Student_28,91,17,72
Student_29,59,89,71
Student_30,79,43,11
Student_31,14,33,33
Student_32,61,73,32
Student_33,61,61,47
Student_34,46,99,22
Student_35,61,13,61
Student_36,50,94,87
Student_37,54,47,36
Student_38,63,14,98
Student_39,2,71,43
Student_40,100,77,85
Student_41,50,86,90
